osmid,highway,oneway,reversed,length,geometry,name,ref,access,lanes,tunnel,maxspeed,bridge,junction
28295565,residential,False,True,95.077,"LINESTRING (80.2424982 13.0725555, 80.2424894 13.0717005)",,,,,,,,
1188126146,residential,False,False,45.866,"LINESTRING (80.2424982 13.0725555, 80.2429216 13.0725489)",,,,,,,,
1188126146,residential,False,True,78.346,"LINESTRING (80.2424982 13.0725555, 80.2417749 13.0725495)",,,,,,,,
18063960,residential,False,False,41.534,"LINESTRING (80.2407551 13.0802661, 80.2403721 13.0802846)",Landons Road,,,,,,,
18063960,residential,False,True,118.771,"LINESTRING (80.2407551 13.0802661, 80.2413474 13.0802607, 80.2416759 13.0802549, 80.2418516 13.0802559)",Landons Road,,,,,,,
995149272,residential,False,True,145.218,"LINESTRING (80.2407551 13.0802661, 80.2407396 13.0808574, 80.240734 13.0809272, 80.2410615 13.0809096, 80.2413944 13.0808879)",,,,,,,,
211260246,residential,True,False,126.005,"LINESTRING (80.2406996 13.0774883, 80.2407052 13.0777855, 80.2407208 13.0786213)",Vasu Street,,,,,,,
23499285,residential,False,True,247.733,"LINESTRING (80.245762 13.0794832, 80.2457838 13.0800122, 80.2457933 13.0802605, 80.2458258 13.0811097, 80.2458697 13.0817084)",Waddles Road,,,,,,,
566562032,primary,True,False,146.84799999999998,"LINESTRING (80.245762 13.0794832, 80.2462845 13.0798205, 80.2467547 13.080124, 80.2468991 13.0802016)",Barnaby Road,,,,,,,
27174389,tertiary,True,False,53.393,"LINESTRING (80.2493366 13.0811755, 80.2496022 13.0812101, 80.2498251 13.08124)",,,,,,,,
566562032,primary,True,False,30.134,"LINESTRING (80.2493366 13.0811755, 80.2495005 13.0812697, 80.2495103 13.0813548)",Barnaby Road,,,,,,,
33622114,secondary,True,False,24.206,"LINESTRING (80.2501415 13.0813108, 80.2499181 13.0813168)",Dr Alagappa Road,,,,,,,
217685966,living_street,False,True,76.718,"LINESTRING (80.2501415 13.0813108, 80.2502335 13.0819949)",,,,,,,,
1230572507,tertiary,True,False,38.494,"LINESTRING (80.2501415 13.0813108, 80.2500574 13.0812777, 80.2500481 13.0812512, 80.2500409 13.0812236, 80.2500508 13.0811546, 80.2500558 13.0810999, 80.2500525 13.0810232)",Flowers Road,,,,,,,
23499291,residential,False,False,65.231,"LINESTRING (80.2533829 13.081942, 80.2532061 13.0820636, 80.252831 13.0821516)",Audiappa Street,,,,,20,,
33622114,secondary,True,False,46.527,"LINESTRING (80.2533829 13.081942, 80.2532482 13.0819185, 80.2530804 13.0818629, 80.252976 13.0818148)",Dr Alagappa Road,,,,,,,
18063960,residential,False,False,63.521,"LINESTRING (80.2433976 13.0803371, 80.2428129 13.0802927)",Landons Road,,,,,,,
23075452,residential,False,False,202.67,"LINESTRING (80.2433976 13.0803371, 80.2434544 13.0808117, 80.2435685 13.0816382, 80.243587 13.0817728, 80.2435899 13.0817935, 80.2436356 13.0821449)",Muniappa Road,,,,,,,
23075452,residential,False,True,107.33,"LINESTRING (80.2433976 13.0803371, 80.2433132 13.0797042, 80.24327 13.0793799)",Muniappa Road,,,,,,,
23075470,residential,True,False,74.389,"LINESTRING (80.24327 13.0793799, 80.2439566 13.0793632)",,,,,,,,
23075452,residential,False,False,107.33,"LINESTRING (80.24327 13.0793799, 80.2433132 13.0797042, 80.2433976 13.0803371)",Muniappa Road,,,,,,,
26808454,primary,True,False,5.867,"LINESTRING (80.2511907 13.0858104, 80.251244 13.085801)",Purasawalkam High Road,,,,,,,
30977369,residential,False,True,174.76,"LINESTRING (80.2511907 13.0858104, 80.2513298 13.0873762)",Menadu Street,,,2,,,,
26808454,primary,True,False,44.776,"LINESTRING (80.2517546 13.0857303, 80.2521622 13.085663)",Purasawalkam High Road,,,,,,,
30977370,residential,False,True,184.697,"LINESTRING (80.2517546 13.0857303, 80.2517615 13.0873913)",Pandaram Street,,,,,,,
23499290,residential,False,True,103.902,"LINESTRING (80.2521622 13.085663, 80.2519222 13.0847583)",Vellala Street,,,,,,,
26808454,primary,True,False,15.437,"LINESTRING (80.2521622 13.085663, 80.2523024 13.085638)",Purasawalkam High Road,,,,,,,
26808454,primary,True,False,27.802,"LINESTRING (80.2536981 13.0855414, 80.2539526 13.085574)",Purasawalkam High Road,,,,,,,
48057020,residential,False,True,72.036,"LINESTRING (80.2536981 13.0855414, 80.2535737 13.0861778)",Sundaram Pillai Stret,,,,,,,
1195487805,tertiary,True,False,44.568,"LINESTRING (80.2555003 13.0860172, 80.2554067 13.0864075)",Tana street,,,,,,,
23499286,residential,False,False,63.241,"LINESTRING (80.2439566 13.0793632, 80.2440349 13.0799268)",Manickeswari Street,,,,,,,
"[1058246676, 23075470]","['primary', 'residential']",True,False,71.477,"LINESTRING (80.2439566 13.0793632, 80.2445231 13.0793214, 80.2446146 13.0793142)",Barnaby Road,,,,,,,
23075476,residential,False,False,98.703,"LINESTRING (80.2407294 13.0790789, 80.2398181 13.0790779)",,,,,,,,
30972272,residential,True,False,126.639,"LINESTRING (80.2407294 13.0790789, 80.2412513 13.0790715, 80.2414489 13.0790687, 80.2416852 13.0790653, 80.241898 13.0790798)",Rajarathinam Street,,,,,,,
211260246,residential,True,False,79.077,"LINESTRING (80.2407294 13.0790789, 80.2407414 13.0796352, 80.2407448 13.0797899)",Vasu Street,,,,,,,
23075476,residential,False,True,32.342,"LINESTRING (80.2395195 13.0790799, 80.2398181 13.0790779)",,,,,,,,
845727138,secondary,True,False,4.67,"LINESTRING (80.217721 13.07826, 80.2177207 13.078302)",Anna Arch Road,,,2,,,,
23306321,residential,False,False,25.642,"LINESTRING (80.2162516 13.0752169, 80.2162767 13.0754462)",N.S.K. Nagar Main Road,,,,,,,
23306321,residential,False,True,10.92,"LINESTRING (80.2162516 13.0752169, 80.2162504 13.0751187)",N.S.K. Nagar Main Road,,,,,,,
1373597958,primary,True,False,86.891,"LINESTRING (80.2162516 13.0752169, 80.2170479 13.0751221)",EVR Periyar Salai,SHU86,,2,,,,
23306321,residential,False,False,31.599,"LINESTRING (80.2163294 13.0757169, 80.2163646 13.075999)",N.S.K. Nagar Main Road,,,,,,,
23306321,residential,False,True,30.637,"LINESTRING (80.2163294 13.0757169, 80.2162767 13.0754462)",N.S.K. Nagar Main Road,,,,,,,
23306322,residential,False,False,144.052,"LINESTRING (80.2163294 13.0757169, 80.2158561 13.0758302, 80.215381 13.0759938, 80.2150599 13.0760987)",,,,,,,,
23306321,residential,False,False,32.53,"LINESTRING (80.2164055 13.07624, 80.2164435 13.0765302)",N.S.K. Nagar Main Road,,,,,,,
23306321,residential,False,True,27.162,"LINESTRING (80.2164055 13.07624, 80.2163646 13.075999)",N.S.K. Nagar Main Road,,,,,,,
23306323,residential,False,False,116.632,"LINESTRING (80.2164055 13.07624, 80.2161382 13.0762883, 80.2158011 13.0763642, 80.2153621 13.0764946)",,,,,,,,
23306321,residential,False,False,26.095,"LINESTRING (80.2165601 13.0775968, 80.2165784 13.0778308)",N.S.K. Nagar Main Road,,,,,,,
23306321,residential,False,True,26.648,"LINESTRING (80.2165601 13.0775968, 80.2165229 13.0773599)",N.S.K. Nagar Main Road,,,,,,,
23306333,residential,False,False,77.193,"LINESTRING (80.2165601 13.0775968, 80.2163565 13.0776271, 80.2158548 13.0776965)",,,,,,,,
23306321,residential,False,False,13.425,"LINESTRING (80.2166595 13.0783235, 80.2166757 13.0784432)",N.S.K. Nagar Main Road,,,,,,,
23306321,residential,False,True,28.759,"LINESTRING (80.2166595 13.0783235, 80.216617 13.0780682)",N.S.K. Nagar Main Road,,,,,,,
